日時,始値(BID),高値(BID),安値(BID),終値(BID),始値(ASK),高値(ASK),安値(ASK),終値(ASK)
2019/10/09 15:42:00,107.151,107.152,107.136,107.148,107.154,107.155,107.139,107.151
2019/10/09 15:43:00,107.148,107.151,107.147,107.148,107.151,107.154,107.15,107.151
2019/10/09 15:44:00,107.148,107.156,107.148,107.153,107.151,107.159,107.151,107.156
2019/10/09 15:45:00,107.153,107.156,107.153,107.156,107.156,107.159,107.156,107.159
2019/10/09 15:46:00,107.156,107.167,107.155,107.167,107.159,107.17,107.158,107.17
2019/10/09 15:47:00,107.167,107.167,107.162,107.164,107.17,107.17,107.165,107.167
2019/10/09 15:48:00,107.164,107.165,107.16,107.164,107.167,107.168,107.163,107.167
2019/10/09 15:49:00,107.164,107.166,107.161,107.164,107.167,107.169,107.164,107.167
2019/10/09 15:50:00,107.164,107.168,107.164,107.167,107.167,107.171,107.167,107.17
2019/10/09 15:51:00,107.167,107.174,107.167,107.173,107.17,107.177,107.17,107.176
2019/10/09 15:52:00,107.173,107.174,107.17,107.17,107.176,107.177,107.173,107.173
2019/10/09 15:53:00,107.17,107.17,107.164,107.165,107.173,107.173,107.167,107.168
2019/10/09 15:54:00,107.165,107.17,107.164,107.17,107.168,107.173,107.167,107.173
2019/10/09 15:55:00,107.17,107.181,107.17,107.18,107.173,107.184,107.173,107.183
2019/10/09 15:56:00,107.18,107.183,107.164,107.167,107.183,107.186,107.169,107.17
2019/10/09 15:57:00,107.167,107.172,107.166,107.17,107.17,107.175,107.169,107.173
2019/10/09 15:58:00,107.17,107.17,107.159,107.165,107.173,107.173,107.162,107.168
2019/10/09 15:59:00,107.165,107.171,107.161,107.161,107.168,107.174,107.164,107.164
2019/10/09 16:00:00,107.161,107.173,107.155,107.166,107.164,107.176,107.158,107.169
2019/10/09 16:01:00,107.166,107.17,107.135,107.142,107.169,107.173,107.139,107.145
2019/10/09 16:02:00,107.142,107.147,107.136,107.138,107.145,107.15,107.139,107.141
2019/10/09 16:03:00,107.138,107.138,107.125,107.136,107.141,107.141,107.128,107.139
2019/10/09 16:04:00,107.136,107.136,107.13,107.132,107.139,107.139,107.133,107.135
2019/10/09 16:05:00,107.132,107.148,107.13,107.14,107.135,107.151,107.133,107.143
2019/10/09 16:06:00,107.14,107.148,107.14,107.145,107.143,107.151,107.143,107.148
2019/10/09 16:07:00,107.145,107.153,107.144,107.151,107.148,107.156,107.147,107.154
2019/10/09 16:08:00,107.151,107.154,107.148,107.151,107.154,107.157,107.151,107.154
